Title,Rated,Released,Runtime,Actor1,Actor2,Actor3,Actor4,Genre1,Genre2,Genre3,Great,Director,Good,Average,Poor,Awful
Nicholas Nickleby,PG,27-Jun-03,132 min,Stella Gonet,Andrew Havill,Henry McGrath,Hugh Mitchell,Drama,Romance,xxx,55,Douglas McGrath,Yes,80,19,4
Wanted,R,27-Jun-08,110 min,James McAvoy,Morgan Freeman,Angelina Jolie,Terence Stamp,Action,Crime,Fantasy,98,Timur Bekmambetov,No,473,68,10
Salt,PG-13,23-Jul-10,100 min,Angelina Jolie,Live Schreiber,Chiwtel Ejiofor,Daniel Olbrychski,Action,Crime,Fantasy,93,Phillip Noyce,No,492,71,16
Alice in Wonderland,PG,5-Mar-10,108 min,Johnny Depp,Mia Wasikowska,Helena Bonham Carter,Anne Hathaway,Adventure,Family,Fantasy,115,Tim Burton,No,525,58,35
American Psycho,R,14-Apr-00,102 min,Christian Bale,Justin Theroux,Josh Lucas,Bill Sage,Drama,xxx,xxx,71,Mary Harron,No,573,64,10
The Aviator,PG-13,25-Dec-04,170 min,Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale,John C. Reilly,Biography,Drama,xxx,193,Martin Scorsese,Yes,334,30,14
Beowulf,PG-13,16-Nov-07,115 min,Robin Wright,Anthony Hopkins,Paul Baker,John Bilezikjian,Animation,Action,Adventure,102,Robert Zemeckis,No,466,47,25
Blow,R,6-Apr-01,124 min,Johnny Depp,Penelope Cruz,Franka Potente,Rachel Griffiths,Biography,Crime,Drama,192,Ted Demme,No,424,35,18
Brokeback Mountain,R,13-Jan-06,134 min,Heath Ledger,Jake Gyllenhaal,Randy Quaid,Valerie Planche,Drama,Romance,xxx,153,Ang Lee,Yes,370,35,16
Charlie and the Chocolate Factory,PG,15-Jul-05,115 min,Johnny Depp,Freddie Highmore,David Kelly,Helena Bonham Carter,Adventure,Comedy,Family,107,Tim Burton,Yes,388,72,30
The Curious Case of Benjamin Button,PG-13,25-Dec-08,166 min,Cate Blanchett,Brad Pitt,Julia Ormond,Faune Chambers Watkins,Drama,Fantasy,Romance,116,David Fincher,Yes,401,38,11
Django Unchained,R,25-Dec-12,165 min,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,Drama,Western,xxx,122,Quentin Tarantino,Yes,420,39,5
Hot Pursuit,PG-13,8-May-15,87 min,Reese Witherspoon,Sofia Vergara,Matthew Del Negro,Michael Mosley,Action,Comedy,Crime,15,Anne Fletcher,No,215,33,17
Exodus: Gods and Kings,PG-13,12-Dec-14,150 min,Christian Bale,Joel Edgerton,John Turturro,Aaron Paul,Action,Adventure,Drama,38,Ridley Scott,No,605,94,28
Gangs of New York,R,20-Dec-02,167 min,Leonardo DiCaprio,Daniel Day-Lewis,Cameron Diaz,Jim Broadbent,Crime,Drama,History,142,Martin Scorsese,No,446,51,12
Grindhouse,R,6-Apr-07,191 min,Kurt Russell,Zoe Bell,Rosario Dawson,Vanessa Ferlito,Action,Horror,Thriller,167,Robert Rodriguez,No,460,38,19
He's Just Not That Into You,PG-13,6-Feb-09,129 min,Morgan Lily,Trenton Rogers,Michelle Carmichael,Jasmine Woods,Comedy,Drama,Romance,165,Ken Kwapis,Yes,385,62,30
The Inglorious Bastards,R,1-Dec-81,99 min,Bo Svenson,Peter Hooten,Fred Williamson,Michael Pergolani,Action,Adventure,Comedy,144,Enzo G. Castellari,Yes,438,29,9
Julie & Julia,PG-13,7-Aug-09,123 min,Meryl Streep,Amy Adams,Stanley Tucci,Chris Messina,Biography,Drama,Romance,190,Nora Ephron,Yes,310,28,9
Kill Bill: Vol. 1,R,10-Oct-03,111 min,Uma Thurman,Lucy Liu,Vivica A. Fox,Daryl Hannah,Action,xxx,xxx,54,Quentin Tarantino,No,582,123,35
Killing Them Softly,R,30-Nov-12,97 min,Brad Pitt,Scott McNairy,Ben Mendelsohn,James Gandolfini,Crime,Thriller,xxx,129,Andrew Dominik,No,490,60,27
Lara Croft: Tomb Raider,PG-13,15-Jun-01,100 min,Angelina Jolie,Jon Voight,Iain Glen,Noah Taylor,Action,Adventure,Comedy,145,Simon West,No,462,55,19
Les Misérables,PG-13,25-Dec-12,158 min,Hugh Jackman,Russell Crowe,Anne Hathaway,Amanda Seyfried,Drama,Musical,Romance,140,Tom Hooper,Yes,413,37,8
Love & Other Drugs,R,24-Nov-10,112 min,Jake Gyllenhaal,Anne Hathaway,Oliver Platt,Hank Azaria,Comedy,Drama,Romance,81,Edward Zwick,No,479,47,18
Lucy,R,25-Jul-14,89 min,Scarlett Johansson,Morgan Freeman,Min-sik Choi,Amr Waked,Action,Sci-Fi,Thriller,57,Luc Besson,No,557,81,24
The Machinist,R,3-Dec-04,101 min,Christian Bale,Jennifer Jason Leigh,Aitana Sanchez-Gijon,John Sharian,Drama,Thriller,xxx,67,Brad Anderson,No,529,70,9
Maleficent,PG,30-May-14,97 min,Angelina Jolie,Elle Fanning,Sharlto Copley,Lesley manville,Action,Adventure,Family,112,Robert Stromberg,Yes,417,33,11
Mamma Mia!,PG-13,18-Jul-08,108 min,Amanda Seyfried,Stellan Skarsgard,Pierce Brosnan,Nancy Baldwin,Comedy,Musical,Romance,150,Phyllida Lloyd,No,404,78,35
The Avengers,PG-13,4-May-12,143 min,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Action,Adventure,Sci-Fi,156,Joss Whedon,Yes,352,21,6
Monsters vs. Aliens,PG,27-Mar-09,94 min,Reese Witherspoon,Seth Rogen,Hugh Laurie,Will Arnett,Animation,Action,Adventure,143,Rob Letterman,Yes,395,20,5
Mr. and Mrs. Smith,N/A,N/A,43 min,Martin Henderson,Jordana Brewster,Lauren Birkell,Shane Brolly,Short,Action,xxx,142,Doug Liman,Yes,370,39,9
Ocean's Eleven,PG-13,7-Dec-01,116 min,George Clooney,Cecelia Ann Birt,Paul L. Nolan,Carol Florence,Crime,Thriller,xxx,179,Steven Soderbergh,Yes,402,34,32
The Prestige,PG-13,20-Oct-06,130 min,Hugh Jackman,Christian Bale,Michael Caine,Piper Perabo,Drama,Mystery,Sci-Fi,215,Christopher Nolan,Yes,344,16,8
The Princess Diaries,G,3-Aug-01,115 min,Julie Andrews,Anne Hathaway,Hector Elizondo,Heather Matarazzo,Comedy,Family,Romance,234,Garry Marshall,Yes,344,24,6
Pushing Tin,R,23-Apr-99,124 min,John Cusack,Billy Bob Thornton,Cate Blanchett,Angelina Jolie,Comedy,Drama,Romance,175,Mike Newell,Yes,367,23,11
Suffragette,PG-13,12-Oct-15,106 min,Anne-Marie Duff,Grace Stottor,Geoff Bell,Carey Mulligan,Biography,Drama,History,200,Sarah Gavron,Yes,348,37,11
Sweet Home Alabama,PG-13,27-Sep-02,108 min,Reese Witherspoon,Josh Lucas,Patrick Dempsey,Candice bergen,Comedy,Romance,xxx,62,Andy Tennant,No,149,22,6
Taking Lives,R,19-Mar-04,103 min,Angelina Jolie,Ethan Hawke,Kiefer Sutherland,Gena Rowlands,Crime,Mystery,Thriller,19,D.J. Caruso,No,121,13,2
The Dark Knight,PG-13,18-Jul-08,152 min,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Action,Crime,Drama,246,Christopher Nolan,Yes,323,31,19
The Dark Knight Rises,PG-13,20-Jul-12,164 min,Christian Bale,Gary Oldman,Tom Hardy,Joseph Gordon-Levitt,Action,Thriller,xxx,214,Christopher Nolan,No,429,56,22
The Devil Wears Prada,PG-13,30-Jun-06,109 min,Meryl Streep,Anne Hathaway,Emily Blunt,Stanley Tucci,Comedy,Drama,Romance,188,David Frankel,Yes,352,12,2
The Iron Lady,PG-13,13-Jan-12,105 min,Meryl Streep,Jim Broadbent,Susan Brown,Alice da Cunha,Biography,Drama,History,118,Phyllida Lloyd,No,463,48,5
To Rome with Love,R,6-Jul-12,112 min,Judy Davis,Flavio Parenti,Roberto Benigni,Alison Pill,Comedy,Romance,xxx,197,Woody Allen,Yes,335,29,12
The Tourist,PG-13,10-Dec-10,103 min,Johnny Depp,Angelina Jolie,Paul Bettany,Timothy Dalton,Action,Romance,Thriller,91,Florian Henckel von Donnersmarck,No,524,50,5
Troy,R,14-May-04,163 min,Julian Glover,Brian Cox,Nathan Jones,Adoni Maropis,Adventure,xxx,xxx,79,Wolfgang Petersen,No,568,94,34
Twilight,PG-13,21-Nov-08,122 min,Kristen Stewart,Sarah Clarke,Matt Bushell,Billy burke,Drama,Fantasy,Romance,70,Catherine Hardwicke,No,525,47,17
Vicky Cristina Barcelona,PG-13,15-Aug-08,96 min,Rebecca Hall,Scarlett Johansson,Christopher Evan Welch,Chris Messina,Drama,Romance,xxx,174,Woody Allen,Yes,389,40,22
Water for Elephants,PG-13,22-Apr-11,120 min,Reese Witherspoon,Robert Pattinson,Christoph Waltz,Paul Schneider,Drama,Romance,xxx,119,Francis Lawrence,No,520,139,38
